Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,7.680000,7.680000,7.680000,7.680000,6.932523,0
2022-07-12,null,null,null,null,null,null
2022-07-13,7.610000,7.610000,7.610000,7.610000,6.869336,0
2022-07-14,7.560000,7.560000,7.560000,7.560000,6.824202,0
2022-07-15,7.640000,7.640000,7.640000,7.640000,6.896416,0
2022-07-18,null,null,null,null,null,null
2022-07-19,7.730000,7.730000,7.730000,7.730000,6.977655,0
2022-07-20,7.780000,7.780000,7.780000,7.780000,7.022790,0
2022-07-21,null,null,null,null,null,null
2022-07-22,7.900000,7.900000,7.900000,7.900000,7.131110,0
2022-07-25,7.890000,7.890000,7.890000,7.890000,7.122083,0
2022-07-26,7.880000,7.880000,7.880000,7.880000,7.113057,0
2022-07-27,7.890000,7.890000,7.890000,7.890000,7.122083,0
2022-07-28,7.950000,7.950000,7.950000,7.950000,7.176244,0
2022-07-29,8.000000,8.000000,8.000000,8.000000,7.221378,0
2022-08-01,null,null,null,null,null,null
2022-08-02,8.030000,8.030000,8.030000,8.030000,7.248457,0
2022-08-03,null,null,null,null,null,null
2022-08-04,8.070000,8.070000,8.070000,8.070000,7.284564,0
2022-08-05,8.040000,8.040000,8.040000,8.040000,7.257484,0
2022-08-08,null,null,null,null,null,null
2022-08-09,8.060000,8.060000,8.060000,8.060000,7.275537,0
2022-08-10,8.120000,8.120000,8.120000,8.120000,7.329699,0
2022-08-11,null,null,null,null,null,null
2022-08-12,8.170000,8.170000,8.170000,8.170000,7.374831,0
2022-08-15,null,null,null,null,null,null
2022-08-16,null,null,null,null,null,null
2022-08-17,8.180000,8.180000,8.180000,8.180000,7.383859,0
2022-08-18,8.170000,8.170000,8.170000,8.170000,7.374831,0
2022-08-19,8.120000,8.120000,8.120000,8.120000,7.329699,0
2022-08-22,8.030000,8.030000,8.030000,8.030000,7.248457,0
2022-08-23,7.990000,7.990000,7.990000,7.990000,7.212351,0
